iter	RMSE
0	10683.96196
1	9155.538396
2	7821.816682
3	6803.279385
4	6110.857994
5	5302.14754
6	4565.489579
7	4004.741172
8	3518.014544
9	3258.426643
10	2898.54874
11	2542.957467
12	2309.489487
13	2099.431156
14	1888.290963
15	1750.969217
16	1608.175445
17	1470.837532
18	1372.526619
19	1265.01546
20	1181.672003
21	1118.690735
22	1044.800034
23	975.9178437
24	926.4421153
25	869.8196355
26	823.3299252
27	772.863797
28	754.5370532
29	703.836024
30	673.7709078
31	650.0132794
32	636.1640879
33	604.6687934
34	589.2582433
35	569.6507978
36	561.1005456
37	530.1317738
38	524.1948649
39	518.5032051
40	514.2239142
41	503.7711406
42	500.0201834
43	481.3839808
44	458.103842
45	445.5610099
46	432.5077747
47	428.2709599
48	416.7432782
49	407.6775481
50	401.2563375
51	393.4681349
52	385.6743559
53	384.4938424
54	377.4924474
55	372.8007353
56	369.3241698
57	356.0725223
58	341.7181602
59	332.0851217
60	325.4779092
61	322.9944268
62	317.8573479
63	316.5876493
64	310.1157357
65	308.8294449
66	300.5958507
67	291.0134049
68	287.6470292
69	280.6975053
70	276.2681528
71	270.2848863
72	265.0891723
73	262.6191912
74	257.4391129
75	250.3300216
76	248.5124705
77	245.6637965
78	241.0575738
79	236.9963314
80	232.4319262
81	230.6610113
82	229.5578733
83	228.3838584
84	224.5493486
85	220.6388272
86	216.8515474
87	216.6517112
88	215.8256404
89	213.0858109
90	208.2136065
91	203.3838568
92	201.8370785
93	200.6440678
94	200.0187871
95	196.7799461
96	193.0860647
97	190.2891748
98	186.292444
99	184.9962327
