iter	Passed	Remaining
0	193	19134
1	254	12456
2	285	9216
3	308	7396
4	385	7322
5	449	7042
6	510	6775
7	565	6506
8	604	6115
9	639	5751
10	670	5427
11	742	5444
12	771	5160
13	800	4918
14	827	4691
15	856	4498
16	899	4391
17	957	4361
18	1014	4324
19	1049	4196
20	1080	4066
21	1172	4157
22	1228	4111
23	1272	4030
24	1302	3908
25	1334	3799
26	1367	3698
27	1399	3599
28	1430	3501
29	1460	3407
30	1493	3323
31	1526	3243
32	1558	3163
33	1587	3082
34	1624	3016
35	1659	2950
36	1690	2878
37	1724	2813
38	1757	2748
39	1791	2687
40	1825	2627
41	1861	2570
42	1896	2513
43	1931	2457
44	1976	2415
45	2007	2356
46	2038	2298
47	2067	2239
48	2096	2182
49	2125	2125
50	2157	2072
51	2190	2021
52	2235	1982
53	2302	1961
54	2343	1917
55	2377	1867
56	2413	1821
57	2462	1783
58	2523	1753
59	2585	1723
60	2628	1680
61	2662	1632
62	2707	1590
63	2747	1545
64	2781	1497
65	2812	1449
66	2841	1399
67	2879	1355
68	2918	1311
69	2961	1269
70	3009	1229
71	3058	1189
72	3114	1151
73	3166	1112
74	3230	1076
75	3321	1048
76	3403	1016
77	3470	978
78	3540	941
79	3580	895
80	3615	848
81	3652	801
82	3688	755
83	3733	711
84	3811	672
85	3848	626
86	3893	581
87	3953	539
88	4006	495
89	4067	451
90	4129	408
91	4169	362
92	4203	316
93	4236	270
94	4268	224
95	4305	179
96	4334	134
97	4372	89
98	4435	44
99	4497	0
