iter	Logloss
0	0.6720098963
1	0.6538773861
2	0.6363631691
3	0.6208894802
4	0.6089289513
5	0.5949495985
6	0.5814282896
7	0.5691689407
8	0.557749695
9	0.5494113493
10	0.5406592131
11	0.5280513489
12	0.5205110961
13	0.5138103987
14	0.5067016445
15	0.5014768947
16	0.4949919809
17	0.4885685811
18	0.4844727201
19	0.4772364002
20	0.4712110411
21	0.4689964513
22	0.4644701748
23	0.4610088408
24	0.4574835103
25	0.4532259452
26	0.4513043306
27	0.447545882
28	0.4435779443
29	0.4420513894
30	0.4388954457
31	0.4367249909
32	0.4339393844
33	0.4302169749
34	0.4279552866
35	0.4240572752
36	0.4230952782
37	0.4206588259
38	0.4181425223
39	0.4152940926
40	0.4151940741
41	0.4141974916
42	0.4130653143
43	0.4106662997
44	0.4086577586
45	0.4065977001
46	0.4042417767
47	0.4034617841
48	0.4023579883
49	0.4005779857
50	0.3986616403
51	0.3976620742
52	0.3965939859
53	0.395035712
54	0.3940701945
55	0.3929034143
56	0.391573716
57	0.3907947601
58	0.3891653297
59	0.3876225583
60	0.3863290475
61	0.3857091341
62	0.3857020603
63	0.3838860052
64	0.382527749
65	0.381789922
66	0.3807039547
67	0.3796061656
68	0.3783841771
69	0.3773792372
70	0.3758898786
71	0.37508059
72	0.3735158334
73	0.3730032194
74	0.3709444104
75	0.3694571506
76	0.3688965009
77	0.3679973965
78	0.3676530571
79	0.365552451
80	0.3633516483
81	0.3622343166
82	0.3589193109
83	0.3580729679
84	0.3575150511
85	0.3567758182
86	0.3562920546
87	0.3548180557
88	0.3534998227
89	0.3510111025
90	0.3489403395
91	0.3482271259
92	0.3468540039
93	0.3460009561
94	0.3455440946
95	0.3438373335
96	0.3429935008
97	0.3424185781
98	0.3423756484
99	0.3406848156
