iter	Passed	Remaining
0	190	18868
1	251	12331
2	304	9836
3	345	8301
4	392	7459
5	433	6795
6	468	6218
7	500	5758
8	529	5354
9	560	5046
10	591	4785
11	627	4601
12	677	4534
13	711	4371
14	738	4185
15	752	3949
16	799	3903
17	836	3812
18	868	3703
19	906	3626
20	945	3558
21	968	3434
22	1005	3366
23	1034	3275
24	1072	3217
25	1171	3334
26	1190	3217
27	1220	3137
28	1246	3052
29	1263	2949
30	1294	2882
31	1318	2801
32	1366	2775
33	1424	2765
34	1467	2724
35	1506	2678
36	1538	2619
37	1569	2561
38	1603	2507
39	1634	2451
40	1644	2367
41	1655	2285
42	1670	2214
43	1704	2168
44	1736	2122
45	1774	2083
46	1811	2042
47	1835	1988
48	1872	1949
49	1901	1901
50	1938	1862
51	1968	1817
52	2006	1779
53	2027	1726
54	2056	1682
55	2083	1636
56	2114	1595
57	2147	1555
58	2186	1519
59	2220	1480
60	2253	1440
61	2285	1400
62	2292	1346
63	2325	1307
64	2355	1268
65	2391	1232
66	2428	1196
67	2462	1158
68	2500	1123
69	2544	1090
70	2578	1053
71	2606	1013
72	2637	975
73	2671	938
74	2701	900
75	2734	863
76	2793	834
77	2843	801
78	2865	761
79	2894	723
80	2927	686
81	2966	651
82	3000	614
83	3029	577
84	3063	540
85	3096	504
86	3127	467
87	3158	430
88	3187	393
89	3223	358
90	3258	322
91	3294	286
92	3337	251
93	3377	215
94	3416	179
95	3467	144
96	3521	108
97	3573	72
98	3602	36
99	3655	0
